mag_r,u-g,g-r,r-i,i-z,z_spec
18.65789,1.659273,1.449839,0.598936,0.458727,0.257505
18.322237,1.946798,1.602407,0.595478,0.3458,0.298631
18.478821,1.685314,1.690721,0.576748,0.361013,0.394295
16.829569,2.031824,1.221884,0.484806,0.248203,0.17287
17.12611,1.933723,1.352407,0.480946,0.325655,0.212229
19.058969,1.827642,1.697817,0.585001,0.363434,0.358336
18.199438,2.077442,1.458868,0.537199,0.364923,0.276464
19.054935,1.341608,1.736591,0.570702,0.354044,0.350294
19.371691,1.926491,1.776932,0.660748,0.432184,0.436001
19.077774,2.037128,1.753872,0.622921,0.407356,0.400326
18.330942,1.937901,1.601732,0.581652,0.399939,0.296023
20.072117,1.017759,1.505163,0.781097,0.216064,0.493936
16.701094,2.115328,1.222876,0.468975,0.304614,0.172117
17.220917,2.080568,1.304041,0.483351,0.379072,0.212115
18.5937,1.987528,1.679146,0.571583,0.302208,0.337155
17.843275,2.096605,1.425364,0.519835,0.338524,0.234779
17.663752,2.10643,1.632135,0.576828,0.334211,0.31528
18.897518,1.669338,1.807823,0.649458,0.472744,0.40761
17.69828,1.765709,1.328394,0.508774,0.28101,0.258647
18.4837,2.095402,1.759266,0.552902,0.459042,0.326022
18.648075,1.825012,1.43565,0.708868,0.373667,0.223111
17.374638,1.891007,1.203119,0.44939,0.350336,0.184736
18.201841,1.842291,1.732101,0.561602,0.368483,0.331103
20.189322,1.713118,1.394306,0.733744,0.322983,0.468837
20.027456,1.368551,1.651051,0.778139,0.394749,0.439516
19.320692,1.908115,1.825134,0.648373,0.386656,0.396428
18.934589,1.413855,1.792475,0.615551,0.311695,0.358002
19.527306,2.084068,1.924316,0.625286,0.328747,0.335637
17.362577,1.909021,1.317019,0.451723,0.306662,0.210804
18.786055,1.418068,1.713747,0.523893,0.367966,0.387582
17.08482,1.936567,1.309498,0.464268,0.316856,0.205251
20.351919,2.001059,1.470995,0.766605,0.374018,0.511046
19.065315,1.315504,1.808239,0.672178,0.459314,0.408871
20.187887,1.477213,1.921257,0.792509,0.414299,0.438587
19.423538,1.488058,1.796434,0.686594,0.39468,0.343095
18.752502,1.067528,1.640749,0.674274,0.377819,0.384653
20.307417,1.297903,1.474373,0.740343,0.40905,0.436593
18.285292,1.923771,1.594089,0.576832,0.31284,0.30075
17.419031,2.162884,1.241444,0.516922,0.3901,0.180668
20.311525,1.755554,1.604181,0.77829,0.407452,0.529085
19.083698,1.328783,1.863409,0.64477,0.429008,0.373253
17.714174,1.546272,1.367632,0.51091,0.358871,0.253911
18.123444,1.684393,1.875193,0.60445,0.349213,0.364024
18.365114,1.56045,1.784931,0.576817,0.402269,0.356616
19.992361,1.227568,1.654722,0.775953,0.395319,0.497706
17.571154,2.03122,1.428181,0.518164,0.346157,0.224978
18.534571,1.775904,1.652969,0.602373,0.418716,0.374463
17.853289,1.791996,1.632025,0.545364,0.402431,0.30346
16.357664,1.935846,1.237846,0.447229,0.350554,0.185779
19.034279,1.817064,1.760273,0.63586,0.370214,0.348234
18.835697,1.795355,1.6364,0.672363,0.323893,0.394598
17.67712,1.811678,1.54316,0.560564,0.307234,0.269075
20.700373,1.163122,1.235786,0.715075,0.41732,0.40046
