mag_r,u-g,g-r,r-i,i-z,z_spec
19.118786,1.83955,1.719606,0.676771,0.44438,0.418529
19.156891,1.12705,1.707954,0.620436,0.385406,0.390398
18.324877,1.387663,1.780083,0.573563,0.424486,0.393127
20.48513,2.115799,1.467731,0.751406,0.32238,0.493701
18.512978,1.930323,1.653555,0.564135,0.376152,0.35351
17.857367,1.794241,1.45446,0.561268,0.359903,0.282006
19.439774,1.901478,1.669291,0.734621,0.443197,0.285613
19.417124,1.615906,1.978912,0.626425,0.383219,0.34374
17.37508,2.143627,1.398252,0.538111,0.342342,0.219267
16.992785,1.729584,1.290701,0.549923,0.327559,0.216463
18.217659,1.7185,1.739264,0.54855,0.37887,0.340257
18.699825,1.46697,1.664965,0.608372,0.309164,0.352823
18.679596,2.12962,1.568535,0.587296,0.415737,0.304581
18.350473,1.928003,1.418632,0.590593,0.408384,0.261535
18.170795,1.807444,1.374237,0.56703,0.363773,0.259194
19.813002,1.919712,1.584215,0.777985,0.480841,0.489696
18.536961,1.570585,1.737219,0.705332,0.433874,0.420517
19.235111,1.161345,1.764767,0.684917,0.461067,0.421272
18.523588,1.602131,1.716007,0.680481,0.447605,0.422057
19.90855,1.676945,1.622856,0.788162,0.338436,0.478627
18.783873,1.341929,1.707891,0.596098,0.324097,0.357855
17.14817,1.743574,1.207251,0.522333,0.324081,0.229496
19.367378,2.137318,1.781162,0.701443,0.303034,0.403844
20.136271,1.846481,1.502224,0.755232,0.368229,0.412287
18.124758,2.069797,1.510031,0.554918,0.321785,0.28824
19.485439,1.624855,1.717409,0.744514,0.352802,0.455275
19.174135,1.724033,1.807316,0.731472,0.334795,0.442596
20.13341,1.402926,1.379522,0.729918,0.412603,0.425038
17.79854,1.815725,1.36441,0.573341,0.403231,0.261347
17.81592,1.573462,1.383638,0.452517,0.3188,0.231215
18.617306,1.721199,1.572847,0.576925,0.292171,0.328457
17.058582,2.048662,1.316555,0.489775,0.314182,0.203659
18.565737,1.879578,1.561407,0.544434,0.38295,0.328187
17.51066,2.119375,1.245331,0.463926,0.284174,0.190737
17.991961,1.630716,1.693592,0.624548,0.362305,0.381873
19.798677,1.433928,1.214813,0.705713,0.304205,0.533214
20.153046,1.833338,1.492474,0.796156,0.359989,0.497223
17.067312,2.107565,1.415501,0.514801,0.3524,0.222259
18.420458,1.917387,1.505354,0.537937,0.336479,0.279038
18.122955,1.826645,1.566442,0.574636,0.366539,0.282204
17.612074,1.760948,1.565006,0.566957,0.304907,0.279675
18.169094,1.768286,1.530153,0.550095,0.342335,0.313975
18.043715,1.980661,1.426287,0.54451,0.336538,0.258769
18.406898,1.785515,1.550747,0.519421,0.313202,0.283438
18.266289,1.790678,1.63122,0.556412,0.29554,0.313394
18.562822,1.697943,1.727093,0.710402,0.406351,0.439839
19.364262,1.453712,1.753599,0.64889,0.434744,0.363308
18.927517,1.879284,1.871552,0.6112,0.364885,0.366065
18.698557,1.524317,1.68898,0.577538,0.315968,0.332412
18.910135,1.034927,1.614431,0.636723,0.415318,0.364405
16.991661,1.956394,1.205994,0.452566,0.348536,0.172582
19.025173,1.504274,1.767054,0.706493,0.360874,0.438276
18.90432,1.506603,1.63052,0.596043,0.400728,0.312842
18.517458,1.414478,1.739521,0.650152,0.441204,0.311422
19.111223,1.80736,1.751905,0.618759,0.33116,0.342547
18.70348,1.961147,1.742687,0.657242,0.411894,0.406516
17.671078,1.781622,1.200727,0.580078,0.3001,0.178713
18.9237,1.753378,1.629377,0.570631,0.351818,0.313583
16.956188,1.95706,1.350355,0.475313,0.330154,0.218318
